"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",20,0.827502901975316,0.827701854901237,-0.000198952925921314,0.000382342010879148,-0.520353296944394,0.00023757897439858,0.000236779395511963,0.00023710609224863,FALSE
"null",21,0.85562891718296,0.855835161047608,-0.000206243864648403,0.000610208811744621,-0.3379889976658,0.000191332145569803,0.000191089697491233,0.000191024744133552,FALSE
"null",22,0.81709541049429,0.817075054968044,2.03555262466848e-05,0.000414700128020594,0.0490849287745432,0.000268993689374875,0.000269188254331155,0.000269004983754925,FALSE
"null",23,0.836039402823261,0.836582180605837,-0.000542777782576165,0.000570989517698032,-0.950591500811427,0.000227730827514727,0.000226955442700546,0.000227180120592976,FALSE
"null",24,0.838888749570793,0.838448482577176,0.0004402669936171,0.000443141662088397,0.993512980797721,0.000214019479545927,0.00021517333694656,0.000214498220979904,FALSE
"null",25,0.857416895598567,0.857188345722819,0.000228549875747497,0.000498563582692564,0.45841670687855,0.000225312577569307,0.00022622356782738,0.00022564378987535,FALSE
"null",26,0.842694458096702,0.842342565560382,0.000351892536319731,0.000349839120195839,1.00586960121196,0.000227095975172601,0.000229425503998293,0.000228199545880438,FALSE
"null",27,0.850277508829354,0.850194860716114,8.26481132394363e-05,0.000413439066915689,0.199903975828899,0.000200859628052141,0.000201657537456097,0.000201173116823093,FALSE
"null",28,0.846961333124539,0.84698951510056,-2.81819760210578e-05,0.000358078297339855,-0.0787033903769655,0.000233615970474435,0.000234762846877389,0.0002341252986424,FALSE
"null",29,0.826107989269177,0.826037519564295,7.04697048816705e-05,0.000453210461577247,0.155490022530425,0.000235077694090803,0.000235840278837759,0.00023535628660304,FALSE
"null",30,0.856806405920687,0.855991969656662,0.000814436264025664,0.000702551458232539,1.15925496201318,0.000236080292308804,0.00024201326279305,0.000238799988275195,FALSE
"null",31,0.81064027103187,0.810514730256671,0.00012554077519944,0.000537976904193294,0.233357183590791,0.000251931343273111,0.000252184864868774,0.00025191339449622,FALSE
"null",32,0.852796608460444,0.852981877070425,-0.000185268609981026,0.000678778979209698,-0.272943941482593,0.00022249775059527,0.000221684174290264,0.000221860591991458,FALSE
"null",33,0.812206436381679,0.81220979985355,-3.36347187113173e-06,0.0003479048236585,-0.00966779315032804,0.000240284561796443,0.000240450155787169,0.000240306839908644,FALSE
"null",34,0.834505284346698,0.834887567300348,-0.000382282953650503,0.000420129771394183,-0.909916363179676,0.000225531954841969,0.000225192291622988,0.000225273868720073,FALSE
"null",35,0.82716330277371,0.827174972722522,-1.16699488119654e-05,0.000301978058616738,-0.0386450223086457,0.000246606005490528,0.000246856331105202,0.000246685572923922,FALSE
"null",36,0.810778000914758,0.81111496426651,-0.000336963351752373,0.000262112828836005,-1.28556604134474,0.000263134543935288,0.000262594833182821,0.000262830336991535,FALSE
"null",37,0.843334883849204,0.844022246938449,-0.000687363089245552,0.000549779207044623,-1.25025297508162,0.000251579397364651,0.000251013630907971,0.000251145385548062,FALSE
"null",38,0.830579298788936,0.830512637984061,6.66608048746076e-05,0.000314605861308773,0.211886722635414,0.000226387314164348,0.0002266137339205,0.000226451035618439,FALSE
"null",39,0.824606581758853,0.824460631621117,0.00014595013773655,0.00059744488068077,0.24429054872852,0.000235296582551396,0.000236911186882539,0.000235925414524242,FALSE
"null",40,0.841149918068438,0.840814570961438,0.000335347107000894,0.000615568322274329,0.544776420206116,0.000216005033902796,0.000217412388113886,0.000216519248828647,FALSE
